id,ids_prism,ids_espn,ids_fantasypros,ids_fantasyprosSlug,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,profile_rookieYear
2yxrlpw8pr,2yxrlpw8pr,3917914,18864,olamide-zaccheaus,00-0035208,17170,ZaccOl01,6271,d8281390-f081-41e5-b55e-75779536fe94,Q70790285,32123,O.Zaccheaus,Olamide,Olamide Zaccheaus,"Zaccheaus, Olamide","Zaccheaus, O",Olamide Zaccheaus,,Olamide Zaccheaus,Zaccheaus,Olamide,,1997-07-23,1997,07,23,68,194,WR,WR,2019
3010nygy1h,3010nygy1h,2310331,18633,tyler-johnson,00-0036427,17979,JohnTy00,6960,93c17735-5275-45cf-b3ef-620351c62313,Q76446120,32831,T.Johnson,Tyler,Tyler Johnson,"Johnson, Tyler","Johnson, T",Tyler Johnson,,Tyler Johnson,Johnson,Tyler,,1998-08-25,1998,08,25,73,215,WR,WR,2020
31sw25yg1m,31sw25yg1m,3040151,16499,george-kittle,00-0033288,15360,KittGe00,4217,2ada91b0-036e-454f-83c3-6d939ff584a9,Q29558759,30259,G.Kittle,George,George Kittle,"Kittle, George","Kittle, G",George Kittle,,George Kittle,Kittle,George,,1993-10-09,1993,10,09,76,250,TE,TE,2017
33vmzj6rhd,33vmzj6rhd,4035115,18246,albert-okwuegbunam,00-0036423,18000,OkwuAl00,6843,617aee8a-70be-4bdf-9a71-2e2b74e647e6,Q57603670,32788,A.Okwuegbunam,Albert,Albert Okwuegbunam,"Okwuegbunam, Albert","Okwuegbunam, A",Albert Okwuegbunam,Jr.,Albert Okwuegbunam,Okwuegbunam,Albert,,1998-04-25,1998,04,25,77,258,TE,TE,2020
354mr641ww,354mr641ww,4240703,22722,kenny-pickett,00-0038102,19442,PickKe00,8160,ef7ae1f1-4ebe-4759-bbb3-32bd177ace08,Q99554628,33975,K.Pickett,Kenneth,Kenny Pickett,"Pickett, Kenny","Pickett, K",Kenneth Pickett,,Kenny Pickett,Pickett,Kenny,,1998-06-06,1998,06,06,75,220,QB,QB,2022
35eng5rvk8,35eng5rvk8,4257188,25336,charlie-jones,00-0038576,20468,JoneCh11,10228,c634c231-61fb-4725-8533-2cce14bfebbf,Q114000835,40158,C.Jones,Charlie,Charlie Jones,"Jones, Charlie","Jones, C",Charlie Jones,,Charlie Jones,Jones,Charlie,,1998-10-29,1998,10,29,72,190,WR,WR,2023
35s5m76t7w,35s5m76t7w,4723086,26006,colston-loveland,00-0040126,22075,LoveCo00,12517,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,Q115286954,41795,C.Loveland,Colston,Colston Loveland,"Loveland, Colston","Loveland, C",Colston Loveland,,Colston Loveland,Loveland,Colston,,2004-04-09,2004,04,09,78,241,TE,TE,2025
35x06sknbh,35x06sknbh,4038524,18562,gardner-minshew,00-0035289,17025,MinsGa00,6011,dabb52c0-455b-48fe-996b-abf758120623,Q57339590,32010,G.Minshew,Gardner,Gardner Minshew,"Minshew, Gardner","Minshew, G",Gardner Minshew,II,Gardner Minshew,Minshew,Gardner,,1996-05-16,1996,05,16,73,225,QB,QB,2019
394gmz19qw,394gmz19qw,4686361,26475,cam-little,00-0039409,21378,LittCa00,11786,42d90cdf-5494-4576-bc1e-4b5d3de99f5f,Q124429774,41062,C.Little,Cam,Cam Little,"Little, Cam","Little, C",Cam Little,,Cam Little,Little,Cam,,2003-08-17,2003,08,17,73,172,K,SPEC,2024
3f6l75ecsw,3f6l75ecsw,4685247,24346,braelon-allen,00-0039794,21132,AlleBr05,11576,d7f72deb-c1e2-47a2-b651-887f0e33dc44,Q109570622,40981,B.Allen,Braelon,Braelon Allen,"Allen, Braelon","Allen, B",Braelon Allen,,Braelon Allen,Allen,Braelon,,2004-01-20,2004,01,20,73,235,RB,RB,2024
3ftv8dwxfr,3ftv8dwxfr,4430802,22967,darnell-washington,00-0038558,20301,WashDa03,9479,1984b8b5-d206-4d6a-8204-c5dd0160e9f5,Q109383359,40094,D.Washington,Darnell,Darnell Washington,"Washington, Darnell","Washington, D",Darnell Washington,,Darnell Washington,Washington,Darnell,,2001-08-17,2001,08,17,79,265,TE,TE,2023
3g8whwrxvr,3g8whwrxvr,4917427,27499,tanner-koziol,00-0041084,23162,KoziTa00,13408,aa0d8447-26c5-4f82-827a-57890d7b9f70,Q131447674,42797,T.Koziol,Tanner,Tanner Koziol,"Koziol, Tanner","Koziol, T",Tanner Koziol,,Tanner Koziol,Koziol,Tanner,,2004-01-28,2004,01,28,79,250,TE,TE,2026
3g970qfk90,3g970qfk90,4430737,23059,kyren-williams,00-0037840,19450,WillKy02,8150,19d44771-8f1d-4127-9b7d-230da137f15d,Q100408299,34120,K.Williams,Kyren,Kyren Williams,"Williams, Kyren","Williams, K",Kyren Williams,,Kyren Williams,Williams,Kyren,,2000-08-26,2000,08,26,69,207,RB,RB,2022
3hdwjgyf6r,3hdwjgyf6r,3123075,17289,braxton-berrios,00-0034419,16137,BerrBr00,5121,18f0bd30-1432-4fae-9cb4-c212bad6d0bb,Q41760277,31180,B.Berrios,Braxton,Braxton Berrios,"Berrios, Braxton","Berrios, B",Braxton Berrios,,Braxton Berrios,Berrios,Braxton,,1995-10-06,1995,10,06,69,190,WR,WR,2018
3lcg8zg194,3lcg8zg194,4360569,22969,jordan-mason,00-0037525,19872,MasoJo00,8408,af9f7390-ca80-11ec-97ae-e1573849d1a6,Q113869071,34320,J.Mason,Jordan,Jordan Mason,"Mason, Jordan","Mason, J",Jordan Mason,,Jordan Mason,Mason,Jordan,,1999-05-24,1999,05,24,71,230,RB,RB,2022
3ml1qqxrbm,3ml1qqxrbm,4362081,23901,cameron-dicker,00-0037224,20006,DickCa00,8259,ac5dd0b0-d060-11ec-b677-29e0f2526162,Q109905035,34344,C.Dicker,Cameron,Cameron Dicker,"Dicker, Cameron","Dicker, C",Cameron Dicker,,Cameron Dicker,Dicker,Cameron,,2000-05-06,2000,05,06,73,216,K,SPEC,2022
3qv3f5jeqh,3qv3f5jeqh,4429835,22915,george-holani,00-0039299,21709,HolaGe00,12048,971a3930-0724-11ef-a47d-6f7fe8c7bc97,Q124788532,41344,G.Holani,George,George Holani,"Holani, George","Holani, G",George Holani,,George Holani,Holani,George,,1999-12-16,1999,12,16,70,210,RB,RB,2024
3qzkjw69dw,3qzkjw69dw,4360635,23982,chigoziem-okonkwo,00-0037809,19633,OkonCh00,8210,14e11f9b-58c8-437f-abc0-a4e4df9a7c47,Q111020385,34099,C.Okonkwo,Chigoziem,Chig Okonkwo,"Okonkwo, Chig","Okonkwo, C",Chigoziem Okonkwo,,Chig Okonkwo,Okonkwo,Chig,,1999-09-08,1999,09,08,75,238,TE,TE,2022
