id,ids_prism,ids_espn,ids_fantasypros,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay
50mvqb2dpr,50mvqb2dpr,4685350,25393,00-0040644,22094,EtieTr01,12531,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,Q115492523,41913,T.Etienne,Trevor,Trevor Etienne,"Etienne, Trevor","Etienne, T",Trevor Etienne,,Trevor Etienne,Etienne,Trevor,,2004-07-09,2004,07,09
52jvllxxym,52jvllxxym,4241416,19792,00-0036555,18773,HubbCh01,7594,32205e74-b23f-420a-b312-465b29260745,Q67691583,33514,C.Hubbard,Chuba,Chuba Hubbard,"Hubbard, Chuba","Hubbard, C",Chuba Hubbard,,Chuba Hubbard,Hubbard,Chuba,,1999-06-11,1999,06,11
59bexk7918,59bexk7918,4569382,23135,00-0039751,21389,WhitJo04,11623,7cc58a3b-157a-4f43-a7de-5bc403f9ce6b,Q123365074,41083,J.Whittington,Jordan,Jordan Whittington,"Whittington, Jordan","Whittington, J",Jordan Whittington,,Jordan Whittington,Whittington,Jordan,,2000-10-01,2000,10,01
5ec9q5q0l4,5ec9q5q0l4,4428557,25323,00-0039032,20329,SpeaTy00,9508,af71f149-7758-40b7-973a-9fe6320cf4f5,Q115542257,40119,T.Spears,Tyjae,Tyjae Spears,"Spears, Tyjae","Spears, T",Tyjae Spears,,Tyjae Spears,Spears,Tyjae,,2001-06-15,2001,06,15
5epyecgxrd,5epyecgxrd,4383429,25693,00-0038896,20790,SaylJa00,11237,99a7f770-ea18-11ed-a93b-a93886fe0bfd,Q134625884,40474,J.Saylors,Jacob,Jacob Saylors,"Saylors, Jacob","Saylors, J",Jacob Saylors,,Jacob Saylors,Saylors,Jacob,,2000-03-08,2000,03,08
5esy3jmwmw,5esy3jmwmw,4685397,27310,00-0040177,22097,JameJo01,12467,c16040c3-7534-4eeb-956c-8ed3be9972ec,Q123474548,41933,J.James,Jordan,Jordan James,"James, Jordan","James, J",Jordan James,,Jordan James,James,Jordan,,2004-03-29,2004,03,29
5g7x9x0yc8,5g7x9x0yc8,4360797,20126,00-0036849,18802,AtweTu00,7562,7dc49535-f9dd-44b0-94f2-08ac6470130b,Q88587309,33445,T.Atwell,Chatarius,Tutu Atwell,"Atwell, Tutu","Atwell, T",Chatarius Atwell,,Tutu Atwell,Atwell,Tutu,,1999-10-07,1999,10,07
5gndzvppcw,5gndzvppcw,3054850,16421,00-0033906,15293,KamaAl00,4035,d9c857b2-97da-4fb8-a527-afbbb2a67413,Q27443318,30180,A.Kamara,Alvin,Alvin Kamara,"Kamara, Alvin","Kamara, A",Alvin Kamara,,Alvin Kamara,Kamara,Alvin,,1995-07-25,1995,07,25
5lw5jh72zm,5lw5jh72zm,4360405,25339,00-0038752,20780,BoboJa00,10867,7d80dd50-e9f5-11ed-9c34-3f26f2e7ed88,Q115492181,40452,J.Bobo,Jake,Jake Bobo,"Bobo, Jake","Bobo, J",Jake Bobo,,Jake Bobo,Bobo,Jake,,1998-08-04,1998,08,04
5m30sny944,5m30sny944,4708486,27294,00-0040218,22291,HornJi00,12523,f15872a6-7bc1-41e4-a2cd-0a2fbc432bf7,Q122308579,41999,Ji.Horn,Jimmy,Jimmy Horn,"Horn, Jimmy","Horn, J",Jimmy Horn Jr.,Jr.,Jimmy Horn Jr.,Horn,Jimmy,,2002-09-12,2002,09,12
