id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,team_abbreviation,team_jerseyNumber,status_code,status_description,profile_rookieYear
22ddgf0rxm,22ddgf0rxm,4722893,00-0038794,21005,McLaJa00,11439,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,Q120973540,40696,J.McLaughlin,Jaleel,Jaleel McLaughlin,"McLaughlin, Jaleel","McLaughlin, J",Jaleel McLaughlin,,Jaleel McLaughlin,McLaughlin,Jaleel,,2000-09-13,2000,09,13,69,183,RB,RB,DEN,38,ACT,Active,2023
22kns1s024,22kns1s024,4685555,00-0040886,22943,SingNi01,13288,0111286e-ef59-40dd-97e8-967204490e34,Q113468531,42763,N.Singleton,Nicholas,Nicholas Singleton,"Singleton, Nicholas","Singleton, N",Nicholas Singleton,,Nicholas Singleton,Singleton,Nicholas,,2004-01-06,2004,01,06,72,219,RB,RB,TEN,32,ACT,Active,2026
2389bt5vmh,2389bt5vmh,4040761,00-0035250,17034,SingDe00,6130,a961b0d4-5d7c-438e-90f0-2e1fa09f6c89,Q44389375,31906,D.Singletary,Devin,Devin Singletary,"Singletary, Devin","Singletary, D",Devin Singletary,,Devin Singletary,Singletary,Devin,,1997-09-03,1997,09,03,67,203,RB,RB,NYG,26,ACT,Active,2019
274d354sbr,274d354sbr,4360516,00-0039384,21183,TracTy00,11655,fc6c7973-79a9-4974-855e-bc13400fe641,Q124714586,41048,T.Tracy,Tyrone,Tyrone Tracy,"Tracy, Tyrone","Tracy, T",Tyrone Tracy Jr.,Jr.,Tyrone Tracy Jr.,Tracy,Tyrone,,1999-11-23,1999,11,23,71,210,RB,RB,NYG,29,ACT,Active,2024
27cz4r21c0,27cz4r21c0,4426338,00-0039732,20299,NixxBo00,11563,f056c8ed-6ee5-492c-af11-3f7e3d97195c,Q64010450,40875,B.Nix,Bo,Bo Nix,"Nix, Bo","Nix, B",Bo Nix,,Bo Nix,Nix,Bo,,2000-02-25,2000,02,25,74,217,QB,QB,DEN,10,ACT,Active,2024
2lb8r8c86d,2lb8r8c86d,4362478,00-0038705,20719,DemeEm00,11199,44b4cbf0-e8fe-11ed-bc6e-a5c4d3ccbdd1,Q118133409,40430,E.Demercado,Emari,Emari Demercado,"Demercado, Emari","Demercado, E",Emari Demercado,,Emari Demercado,Demercado,Emari,,1999-01-20,1999,01,20,69,215,RB,RB,KC,25,ACT,Active,2023
2p2k0my3lr,2p2k0my3lr,4431452,00-0039851,21125,MayeDr00,11564,d0c0630e-8925-4b81-a32b-e4146d95f01f,Q113363657,40881,D.Maye,Drake,Drake Maye,"Maye, Drake","Maye, D",Drake Maye,,Drake Maye,Maye,Drake,,2002-08-30,2002,08,30,76,225,QB,QB,NE,10,ACT,Active,2024
2ry9rb0qf0,2ry9rb0qf0,12483,00-0026498,7697,StafMa00,421,ade43b1a-0601-4672-83b6-d246bc066a19,Q889130,9265,M.Stafford,John,Matthew Stafford,"Stafford, Matthew","Stafford, M",John Stafford,,Matthew Stafford,Stafford,Matthew,,1988-02-07,1988,02,07,75,214,QB,QB,LA,9,ACT,Active,2009
3f6l75ecsw,3f6l75ecsw,4685247,00-0039794,21132,AlleBr05,11576,d7f72deb-c1e2-47a2-b651-887f0e33dc44,Q109570622,40981,B.Allen,Braelon,Braelon Allen,"Allen, Braelon","Allen, B",Braelon Allen,,Braelon Allen,Allen,Braelon,,2004-01-20,2004,01,20,73,235,RB,RB,NYJ,0,ACT,Active,2024
3g970qfk90,3g970qfk90,4430737,00-0037840,19450,WillKy02,8150,19d44771-8f1d-4127-9b7d-230da137f15d,Q100408299,34120,K.Williams,Kyren,Kyren Williams,"Williams, Kyren","Williams, K",Kyren Williams,,Kyren Williams,Williams,Kyren,,2000-08-26,2000,08,26,69,207,RB,RB,LA,23,ACT,Active,2022
